code_muni,en,ln,n,med
3147006,3.06,4.81,11.57,6.26
3147105,12.56,11.75,14.64,12.91
3147204,27.38,23.69,36.86,28.98
3147303,38.12,30.5,39.5,35.89
3147402,6.38,6.31,9.86,7.41
3147501,8.81,12.44,11.64,10.93
3147600,36.31,27.12,33.07,32.13
3147709,19.38,18.12,21.79,19.67
3147808,42.62,28.81,30.71,34.2
3147907,22.12,24.25,25.21,23.8
3147956,2.94,6,3.93,4.3
3148004,7.12,11.69,10.5,9.74
3148103,13.62,13.38,15.93,14.24
3148202,17.31,23.12,25.93,21.96
3148301,16.5,15.19,18.64,16.7
3148400,9.62,9.12,13.36,10.59
3148509,30.5,23.94,27.5,27.3
3148608,10.56,9.31,13.29,10.96
3148707,21.06,13.12,24.14,19.24
3148756,12.12,13,15.5,13.46
3148806,13.62,12.19,18.14,14.5
3148905,19.62,16.25,22.71,19.39
3149002,15.88,17.69,17.36,16.96
3149101,37.38,27,39.29,34.35
3149150,1.62,1.44,3.64,2.17
3149200,13.56,17.31,16.43,15.74
3149309,7.31,6.88,11.71,8.5
3149408,27.19,20.69,26.43,24.7
3149507,24.44,19.88,20.64,21.7
3149606,9.88,10.19,11.5,10.48
3149705,15.06,15.06,18.36,16.07
3149804,12.94,14.88,18.29,15.24
3149903,22.81,18.88,24.71,22.02
3149952,10.25,8.81,16.79,11.74
3150000,12.38,12.44,14.21,12.96
3150109,25.38,17.69,19.64,20.96
3150158,10.62,11.38,15.79,12.46
3150208,12.81,9.44,12.36,11.5
3150307,21.56,18.94,21.07,20.5
3150406,16.81,13.25,20,16.54
3150505,24.25,18.62,23.07,21.93
3150539,12.44,8.56,15.14,11.91
3150570,1.94,2.94,8,4.13
3150604,18.44,16.56,21.64,18.76
3150703,14.56,21.75,26.93,20.83
3150802,11.12,15.38,19.57,15.17
3150901,43.81,30.25,46.71,39.98
3151008,40.75,27.38,38.79,35.5
3151107,21.56,18.31,18.14,19.39
3151206,1.69,2.94,7.5,3.89
3151305,20.56,19.44,20,20
3151404,9.06,10.12,13.79,10.87
3151503,19.5,17.25,21.57,19.35
3151602,15,21.06,25.07,20.17
3151701,29.94,25.31,32,28.96
3151800,32.5,30.19,39.64,33.87
3151909,12.25,13.81,15,13.63
3152006,7,6.19,11.71,8.15
3152105,11.88,12,15.86,13.13
3152131,2.75,4.38,6.79,4.54
3152170,9,8.38,13.93,10.28
3152204,0.38,1.69,2.86,1.59
3152303,11.62,14.56,20.79,15.43
3152402,21.88,13.25,25.57,20
3152501,38.06,27.19,32.64,32.63
3152600,32.06,25.81,31.5,29.72
3152709,16.81,19.25,21.07,18.96
3152808,12.44,12.25,21.43,15.11
3152907,23.94,24.88,27.64,25.39
3153004,17.56,15.75,17.57,16.93
3153103,12.25,16.06,19.43,15.76
3153202,2.5,4.69,9.71,5.46
3153301,6,6.75,11.36,7.89
3153400,5.31,8.94,10.21,8.07
3153509,18.5,17.81,20.79,18.96
3153608,6.38,6.75,10.43,7.74
3153707,10.88,11,15.86,12.43
3153806,15.12,13.62,20.43,16.22
3153905,16.38,12.12,14.07,14.2
3154002,12.38,8.88,15.07,11.98
3154101,21.25,17.25,19,19.17
3154150,14.75,12.75,18.21,15.11
3154200,16.56,18.94,21.36,18.85
3154309,12.75,15.25,16.5,14.76
3154408,16.94,17.75,21.21,18.52
3154457,1.69,2.62,9.21,4.3
3154507,1.69,1.94,4.57,2.65
3154606,8.06,8.44,13.36,9.8
3154705,23.19,19.38,22.64,21.7
3154804,13.19,16.25,17.5,15.57
3154903,13.81,10.25,13.93,12.61
3155009,12.25,11,14.57,12.52
3155108,32.62,23.44,41.07,32
3155207,13.69,16.19,19.57,16.35
3155306,14.69,15.19,19.36,16.28
3155405,19.88,19.19,19.64,19.57
3155504,13.56,12.06,14.36,13.28
3155603,3.25,2.06,5.79,3.61
3155702,10.38,13.25,11.07,11.59
3155801,21.38,19.5,19.21,20.07
3155900,27.56,19.25,29.64,25.3
3156007,8,7.06,12.36,9
3156106,17.38,21.44,20.71,19.8
3156205,20.81,17.5,20.43,19.54
3156304,20.81,20.12,20.57,20.5
3156403,12,13.94,15.5,13.74
3156452,15.25,17.44,27,19.59
3156502,3.5,3.31,5.57,4.07
3156601,31.62,26.94,33.21,30.48
3156700,14.5,9.81,12.86,12.37
3156809,8.88,9.69,12.5,10.26
3156908,21.38,17,23.93,20.63
3157005,4.44,3.62,6.14,4.67
3157104,45.19,41.62,52.36,46.13
3157203,12.06,11.88,13.36,12.39
3157252,13.25,11.38,16.21,13.5
3157278,25.31,23.25,26.29,24.89
3157302,18.94,19.88,18.57,19.15
3157336,16.81,20.44,20.29,19.13
3157377,6.31,6.19,9.86,7.35
3157401,12.56,10.62,14.14,12.37
3157500,10.69,12.81,16.86,13.3
3157609,2.06,2.38,5.71,3.28
3157658,41.62,31.19,49.36,40.35
3157708,15.81,15.81,18.43,16.61
3157807,7.56,7.88,11.21,8.78
3157906,11.88,13.44,14,13.07
3158003,9.25,12.94,11.57,11.24
3158102,39.88,34,45,39.39
3158201,13.25,9.12,15.79,12.59
3158300,26.69,24.25,29.93,26.83
3158409,20.25,17.94,23.86,20.54
3158508,3.31,4.75,11.86,6.41
3158607,26.44,25.06,22.71,24.83
3158706,26.69,18.94,25.14,23.52
3158805,23.44,19.88,25.07,22.7
3158904,12.5,11.75,16.07,13.33
3158953,11.06,8.88,16.14,11.85
3159001,6.75,6.88,12.21,8.46
3159100,14.44,14,21.07,16.3
3159209,34.56,27.19,35.43,32.26
3159308,35.75,24,30,29.91
3159357,13.06,11.19,16.21,13.37
3159407,21.88,16.62,23.29,20.48
3159506,11.56,14.75,13.79,13.35
3159605,37.69,25.56,32.93,32.02
3159704,13.94,13.81,16.29,14.61
3159803,11.5,14,23.71,16.09
3159902,22.5,19.75,24.86,22.26
3160009,18.81,14.5,17.21,16.83
3160108,12.69,9.81,14.21,12.15
