code_muni,en,ln,n,med
2102077,-0.43,0.26,0.23,0.01
2102101,-0.37,0.26,0.12,0.01
2102150,-0.49,0.27,0.28,0.01
2102200,-0.28,0.18,0.16,0.01
2102309,-0.39,0.14,0.38,0.01
2102325,-0.55,0.26,0.38,0.01
2102358,-0.56,0.49,-0.06,0
2102374,-0.49,0.3,0.23,0.01
2102408,-0.51,0.28,0.3,0.01
2102507,-0.35,0.2,0.19,0.01
2102556,-0.49,0.29,0.26,0.01
2102606,-0.37,0.31,0.03,0.02
2102705,-0.41,0.2,0.29,0.01
2102754,-0.48,0.26,0.32,0.01
2102804,-0.25,0.04,0.38,0.01
2102903,-0.37,0.32,0.02,0.02
2103000,-0.23,0.23,0,0.02
2103109,-0.5,0.33,0.25,0.02
2103125,-0.5,0.34,0.24,0.02
2103158,-0.35,0.31,-0.02,0.01
2103174,-0.33,0.34,-0.11,0.01
2103208,-0.32,0.17,0.2,0
2103257,-0.49,0.41,-0.03,0
2103307,-0.37,0.25,0.17,0.02
2103406,-0.3,0.23,0.09,0.02
2103505,-0.32,0.06,0.42,0.01
2103554,-0.3,0.17,0.18,0.01
2103604,-0.4,0.23,0.24,0.01
2103703,-0.44,0.32,0.19,0.03
2103752,-0.63,0.46,0.11,0.01
2103802,-0.61,0.28,0.44,0.01
2103901,-0.3,0.23,0.09,0.01
2104008,-0.63,0.33,0.42,0.02
2104057,-0.38,0.07,0.51,0.01
2104073,-0.37,0.15,0.35,0.02
2104081,-0.46,0.33,0.12,0.01
2104099,-0.36,0.21,0.24,0.02
2104107,-0.43,0.18,0.38,0.01
2104206,-0.47,0.18,0.44,0.01
2104305,-0.33,0.3,0.01,0.02
2104404,-0.54,0.26,0.39,0.01
2104503,-0.55,0.28,0.36,0.01
2104552,-0.61,0.45,0.1,0.01
2104602,-0.45,0.14,0.48,0.01
2104628,-0.46,0.17,0.42,0.01
2104651,-0.54,0.35,0.19,0.01
2104677,-0.36,0.32,0,0.02
2104701,-0.53,0.18,0.52,0.01
2104800,-0.39,0.33,0.01,0.01
2104909,-0.51,0.32,0.29,0.02
2105005,-0.52,0.25,0.4,0.02
2105104,-0.54,0.29,0.35,0.01
2105153,-0.33,0.12,0.32,0.01
2105203,-0.51,0.3,0.26,0.01
2105302,-0.56,0.44,0.03,0
2105351,-0.6,0.39,0.24,0.01
2105401,-0.42,0.23,0.25,0.01
2105427,-0.44,0.33,0.11,0.01
2105450,-0.4,0.11,0.46,0.01
2105476,-0.65,0.4,0.28,0.01
2105500,-0.54,0.5,-0.1,0.01
2105609,-0.64,0.33,0.41,0.01
2105658,-0.35,0.34,-0.06,0.02
2105708,-0.57,0.31,0.35,0.01
2105807,-0.54,0.3,0.31,0.01
2105906,-0.34,0.24,0.09,0.01
2105922,-0.38,0.17,0.3,0.01
2105948,-0.54,0.3,0.31,0.01
2105963,-0.6,0.37,0.29,0.02
2105989,-0.61,0.41,0.21,0.01
2106003,-0.47,0.28,0.25,0.01
2106102,-0.18,0.13,0.03,0
2106201,-0.32,0.3,0,0.02
2106300,-0.35,0.2,0.24,0.02
2106326,-0.35,0.31,0,0.02
2106359,-0.48,0.29,0.24,0.01
2106375,-0.42,0.37,-0.02,0.01
